,date,portfolio_value,cash,positions_value,num_positions,daily_return
3,2024-04-26,100000,100000,0,0,0.0
4,2024-04-29,100000,100000,0,0,0.0
5,2024-04-30,100000,100000,0,0,0.0
6,2024-05-01,100000,100000,0,0,0.0
7,2024-05-02,100000,100000,0,0,0.0
8,2024-05-03,100000,100000,0,0,0.0
9,2024-05-06,100000,100000,0,0,0.0
10,2024-05-07,100000,100000,0,0,0.0
11,2024-05-08,100000,100000,0,0,0.0
12,2024-05-09,100000,100000,0,0,0.0
13,2024-05-10,100000,100000,0,0,0.0
14,2024-05-13,100000,100000,0,0,0.0
15,2024-05-14,100000,100000,0,0,0.0
16,2024-05-15,100000,100000,0,0,0.0
17,2024-05-16,100000,100000,0,0,0.0
